;Pmax [MW];Pmin [MW];Emax [MWh];Emin [MWh]
Haßberge;1,1326556272532091;-1,5491043898575214;8,322641695512695;-8,316095710145198
Kitzingen;1,7591845152106578;-2,924968377702464;16,508248806263023;-16,49984214444546
Miltenberg;2,2156888588600987;-3,070177846384586;16,2501422451827;-16,23609717215085
Main-Spessart;1,9061227810966939;-2,752122362191783;14,853553906136275;-14,84369320249535
Schweinfurt, Landkreis;0,9205408804554017;-1,0855105090150925;5,6491233833284635;-5,643710851725627
Würzburg, Landkreis;2,3963850171827654;-3,1028031390430466;17,106435170006158;-17,0910942600773
Augsburg, Kreisfreie Stadt;8,470122777010728;-9,626584588708784;53,06775513349819;-53,01625030798099
Kaufbeuren, Kreisfreie Stadt;1,1580733404861407;-1,3650990642007554;7,068761517354886;-7,062177231429448
Kempten (Allgäu), Kreisfreie Stadt;3,302521259690988;-4,174068153758025;21,12955095911737;-21,10707242916885
Memmingen, Kreisfreie Stadt;1,5344948138725836;-1,968366285743004;10,16831345285772;-10,15902574638785
Aichach-Friedberg;1,7435637059815137;-2,243904122400176;11,557256959014667;-11,545736836407478
Augsburg, Landkreis;3,880658175561846;-5,215360671630529;27,034780538942737;-27,008637105514012
Dillingen a.d. Donau;1,5529885194095077;-1,913825311199873;9,557703847997836;-9,547065832254676
Günzburg;2,1117823547261976;-2,805528697278097;14,941374168527975;-14,930074914950813
Neu-Ulm;3,095643318300505;-4,062375091140168;21,33837415773695;-21,31803779449155
Lindau (Bodensee);2,150321931770499;-4,135729626143665;24,25766718815364;-24,250752459963305
Ostallgäu;3,6274899093059396;-7,4549425988654825;43,13774222152379;-43,12694709375884
Unterallgäu;2,414837498138928;-4,550349131262296;26,319862443091587;-26,311363851558497
Donau-Ries;2,579700561217674;-3,232957088282779;16,84055499045963;-16,823497751870086
Oberallgäu;5,819607612166134;-13,587596622821792;80,96622563054655;-80,95617750979481
Regionalverband Saarbrücken;9,06388774177053;-10,052975657193995;55,777836951470036;-55,71828776864596
Merzig-Wadern;2,3440095302577615;-3,370200116623301;17,835717838264774;-17,822280236633294
Neunkirchen;2,0570519793119324;-2,4591261377653657;12,618388172425094;-12,605158209728755
Saarlouis;3,5585094968004096;-4,489810822700394;22,98139907844333;-22,958175432436025
Saarpfalz-Kreis;3,0843888505056745;-3,7171567411388433;19,56566849176323;-19,548420666279775
St. Wendel;1,6703828110049759;-2,451853373946524;13,457498454873793;-13,448462260188732
Berlin;99,32555258106615;-132,91662575417953;753,1381320021065;-752,5543416654763
Brandenburg an der Havel, Kreisfreie Stadt;1,561802975149856;-1,9553840817118537;10,525312924694203;-10,516468587072316
Cottbus, Kreisfreie Stadt;2,6491659015375286;-3,1307418514956487;17,071356448163833;-17,05512288084613
Frankfurt (Oder), Kreisfreie Stadt;1,4630946399937759;-1,7551810542419422;9,326985726072904;-9,317760323830258
Potsdam, Kreisfreie Stadt;4,829081826198198;-6,295240201523592;35,8837139206904;-35,85541299561648
Barnim;2,7903640364693554;-3,7890182218560953;20,09397207730082;-20,078042617151922
Dahme-Spreewald;3,367772276247212;-5,277498491177904;28,65439540457741;-28,63691853403515
Elbe-Elster;1,4453352926530338;-1,8493260717877975;9,516223150426635;-9,507424064963981
Havelland;2,218165736120345;-3,0600772629949655;15,700741872101919;-15,686394824759063
Märkisch-Oderland;2,5080579632657067;-3,444517235642897;18,059444333236335;-18,044708022354968
Oberhavel;3,0603255568307914;-4,472821251360713;24,221796380314814;-24,205120023513288
Oberspreewald-Lausitz;2,1912236329618553;-3,1545315920068857;17,566327666399673;-17,554203524063535
Oder-Spree;2,9797272821780707;-4,86470617934311;26,913209654423238;-26,899654709740943
Ostprignitz-Ruppin;2,1754165674324915;-3,571351385097758;20,188063350091454;-20,178625844405875
Potsdam-Mittelmark;3,0121717093926614;-4,476914937259752;24,366972811821675;-24,351067905963824
Prignitz;1,2905541917652286;-1,8117882407344719;9,782711368413034;-9,775717840943534
Spree-Neiße;1,8752421761766367;-3,313711211024898;18,740713523642757;-18,733364602895257
Teltow-Fläming;2,730796909151034;-4,0427748562091805;21,50252745025291;-21,48657789312182
Uckermark;2,5832063755000103;-4,595180221512794;26,072757701880118;-26,06247063726211
Rostock, Kreisfreie Stadt;6,51213192539371;-10,291597053459713;59,35516721039443;-59,32495498080981
Schwerin, Kreisfreie Stadt;2,8460130719445305;-3,5346452280917724;19,2089837198848;-19,191254795946676
Mecklenburgische Seenplatte;6,591370616892315;-11,451417218532214;65,23078166015311;-65,20259957771681
Landkreis Rostock;5,3747128266421225;-10,411873318461351;59,69474981532258;-59,67575542468861
Vorpommern-Rügen;9,344544752371432;-20,834190497889132;122,99541832044008;-122,97446856880762
Nordwestmecklenburg;3,1061527709950187;-5,723209118280999;32,79862501655308;-32,786390783754314
Vorpommern-Greifswald;7,509805852174451;-14,797369313032553;86,04003833535427;-86,01788208039441
Ludwigslust-Parchim;3,2477168458101366;-5,237185834155731;29,126537918436497;-29,111181502847607
Chemnitz, Kreisfreie Stadt;6,42693522692904;-7,746387154337539;42,11126022684492;-42,069899571853895
Erzgebirgskreis;5,548788586180112;-8,77742457740017;49,09235967947594;-49,06616230621976
Mittelsachsen;4,984684080580957;-6,648926536735504;35,895474533471116;-35,86408730286463
Vogtlandkreis;4,218270891990168;-5,945141222188779;32,41342988052747;-32,391021807709556
Zwickau;5,18824619934976;-6,59063243781118;35,47277239619099;-35,4403664079752
Dresden, Kreisfreie Stadt;16,239230857787728;-21,865040791612344;124,25944267408309;-124,16540664266108
Bautzen;4,873503902619;-6,697068636119388;35,92137357953558;-35,89274624948859
Görlitz;4,47839669957918;-6,4384888192364675;35,15199396028982;-35,12789382391314
Meißen;3,735791073707775;-5,237100939038008;28,610493755838853;-28,589130708891442
Sächsische Schweiz-Osterzgebirge;4,5934286467751875;-7,7120929182536635;43,801489715931076;-43,78293873986769
Leipzig, Kreisfreie Stadt;17,058094197549647;-20,86314802487213;116,92189828819362;-116,81521065361811
Leipzig;3,7105675218804315;-4,8773117736847444;25,890242619342814;-25,868270194678374
Nordsachsen;3,2380440498486767;-4,07015263475737;21,756749247668193;-21,737201666473457
Dessau-Roßlau, Kreisfreie Stadt;1,73989736920415;-2,079330297332778;10,964056875608298;-10,953491931570035
Halle (Saale), Kreisfreie Stadt;5,510949879733328;-6,413369653858327;35,58254024527284;-35,549833600830304
Magdeburg, Kreisfreie Stadt;6,5200867537350105;-7,908878339745085;43,69141200251219;-43,6510553443378
Altmarkkreis Salzwedel;1,239007875292783;-1,7469729115141381;9,257650160345289;-9,250254791309741
Anhalt-Bitterfeld;2,223942279807699;-2,931126865385774;15,49719538047754;-15,48308009904668
Börde;2,9983904885390342;-3,9884149670075595;20,265430119442637;-20,24507511962617
Burgenlandkreis;2,8633160668937347;-4,202053100976571;22,693416059523187;-22,67791607486116
Harz;4,86570370472926;-8,84056351241868;50,150287981518176;-50,13113064132976
Jerichower Land;1,1872356989278559;-1,5336646870620927;8,054457451564636;-8,047298978081766
Mansfeld-Südharz;2,2622601691644504;-3,2666061768420422;17,429757794933902;-17,4166649997273
Saalekreis;2,9993400342493577;-4,112535602016455;21,677521605588986;-21,65859010209182
Salzlandkreis;2,9688928790866678;-3,8474432320913743;19,900074455118613;-19,88178462717569
Stendal;1,7285642028837778;-2,4181317178905424;13,071407624405508;-13,061707714208186
Wittenberg;2,212342654150208;-3,309246733053037;18,258290664617775;-18,246882375549596
Erfurt, Kreisfreie Stadt;7,041428699350059;-8,671480723191062;46,79543103563127;-46,74887495490732
Gera, Kreisfreie Stadt;2,1490440082699616;-2,52805282145695;13,616085133282686;-13,60219007088553
Jena, Kreisfreie Stadt;3,114284920654994;-3,8155791518036413;20,95476920415295;-20,937056589469623
Suhl, Kreisfreie Stadt;1,0331916136150645;-1,3890225963197094;7,766577941356028;-7,761229710888138
Weimar, Kreisfreie Stadt;1,8951341367452537;-2,978168326901144;17,191033117281005;-17,181570601893583
Eisenach, Kreisfreie Stadt;1,3255257662650406;-2,0918454363332004;11,648388241421388;-11,64175654857465
Eichsfeld;1,4277426970712297;-1,8939242783109749;9,892620791649616;-9,883682472189117
Nordhausen;1,4125733105321194;-1,7189971240279887;8,943136852678219;-8,934763890353299
Wartburgkreis;1,6318661265092254;-2,2195308269043945;11,711610984981203;-11,70274272271141
Unstrut-Hainich-Kreis;1,75381352044349;-2,153771550942122;11,30951749265031;-11,299535599506816
Kyffhäuserkreis;1,072038276819124;-1,4982871871471553;8,068085607209191;-8,062081771833022
Schmalkalden-Meiningen;2,1662145051968116;-3,470854877596644;18,940508644596168;-18,92919225556273
Gotha;2,2585720267428546;-3,7735962370926486;21,110257420137664;-21,099421904651482
Sömmerda;0,7214122445681449;-0,9109202106298834;4,574567632314805;-4,569631036080817
Hildburghausen;0,9214772281377893;-1,3557581368194673;7,261684662246786;-7,257210698680931
Ilm-Kreis;1,6149939108043576;-2,4452443172991662;13,460312633841372;-13,450892692085997
Weimarer Land;1,3142639922399801;-2,148132235449935;12,086812815400384;-12,082148992539768
Sonneberg;0,7305504844726806;-1,0055679741757015;5,367697777057872;-5,363608614830908
Saalfeld-Rudolstadt;1,7753460531972958;-2,432983105287541;12,955853314572702;-12,945786735783923
Saale-Holzland-Kreis;1,0695739107800164;-1,3745288766665515;7,126732692086258;-7,120657062148424
Saale-Orla-Kreis;1,1328799918956427;-1,6906799799310466;9,27379327960844;-9,267831309617534
Greiz;1,1591313354810355;-1,6266264794665275;8,711162767106208;-8,704535933524618
Altenburger Land;1,2762291736136788;-1,6539290859943405;8,580291622253464;-8,572650103684108
